"Gene","Bead","Sup","Enrichment","P"
"Gm5152",0.4,0.01,4.72," 7.6e-03"
"Phox2a",2.58,0.16,3.93," 2.5e-10"
"Gm29678",0.31,0.03,3.83," 4.0e-02"
"Gfp_L10a",223.39,16.3,3.77,"1.9e-281"
"Npy",106.13,7.83,3.76,"4.8e-266"
"Gm40968",0.32,0.02,3.71," 3.2e-02"
"Agrp",24.17,1.94,3.65," 8.1e-85"
"Pomc",291.06,23.36,3.64," 0.0e+00"
"Prlh",13.34,1.23,3.44," 4.9e-47"
"Npw",0.53,0.06,3.26," 9.0e-03"
"Gm15046",0.47,0.07,3.22," 1.8e-02"
"Gucy2c",10.04,1.12,3.15," 1.2e-31"
"Serpina3i",1.64,0.18,3.14," 3.1e-06"
"Timp1",2.96,0.3,3.11," 2.2e-08"
"Crh",8.85,1.09,3.04," 8.6e-26"
"Gsx1",37.63,4.73,2.98," 3.7e-81"
"Gm19276",1.03,0.14,2.86," 6.7e-04"
"Gm27208",1.8,0.24,2.85," 5.8e-06"
"Akr1b7",0.48,0.08,2.84," 3.4e-02"
"Serpina3n",84.99,11.47,2.84,"5.2e-116"
"Procr",2.27,0.32,2.82," 2.2e-07"
"Sprr1a",4.49,0.4,2.65," 2.8e-02"
"Lepr",10.21,1.69,2.59," 2.0e-25"
"Tbx19",15.68,2.81,2.49," 9.4e-35"
"Foxa1",38.76,7.45,2.34," 5.9e-55"
"Ghrh",19.84,3.94,2.33," 9.0e-35"
"Slc18a3",1.14,0.25,2.3," 2.9e-03"
"Gm14273",1.15,0.25,2.23," 3.4e-03"
"Tbx3os2",5.76,1.25,2.19," 8.6e-12"
"Gna14",6.19,1.34,2.17," 8.6e-12"
"Cd36",11.13,2.44,2.15," 1.2e-19"
"Irx6",17.55,3.75,2.12," 1.8e-20"
"Prr15",6.15,1.37,2.12," 6.5e-11"
"Nts",63.79,14.89,2.11," 1.1e-59"
"Asb4",413.18,95.86,2.11,"1.8e-147"
"Cartpt",267.15,63.56,2.1,"1.9e-101"
"Il21",1.54,0.36,2.07," 1.2e-03"
"Cre",2.42,0.58,2.05," 3.4e-05"
"Zar1",13.16,3.17,2.05," 2.4e-21"
"Atf3",6.96,1.57,2.01," 3.0e-08"
"Nags",2.17,0.5,2," 4.6e-04"
"Krt90",25.11,6.29,2," 1.4e-36"
"Yeats2",103.87,25.38,2," 6.9e-69"
