"gene","Sample_111475","Sample_111476","Sample_116059","Sample_116060"
"4933401J01Rik",0,0,0,0
"Gm26206",0,0,0,0
"Xkr4",55.0323620493558,61.234412104511,60.4284604186339,83.197857965005
"Gm18956",0,0.135090099190538,0,0
"Gm37180",0.221458197381714,0.636853324755393,0.0690610976212958,0.672837810546806
"Gm37363",0.147638798254476,0.501763225564855,0.138122195242592,0.497314903447639
"Gm37686",0.0184548497818095,0.231583027183779,0.0345305488106479,0.204776724949028
"Gm1992",0,0,0,0
"Gm37329",0.0922742489090474,0.405270297571614,0,0.204776724949028
"Gm7341",0.0738193991272379,0.154388684789186,0,0.0877614535495834
"Gm38148",0.276822746727142,0.752644838347283,0,0.848360717645973
"Gm19938",0.68282944192695,0.945630694333765,0.138122195242592,0.965375989045417
"Gm10568",0.276822746727142,0.463166054367559,0.448897134538423,1.22866034969417
"Gm38385",0,0,0,0
"Gm27396",0,0,0,0
"Gm37381",0,0,0,0
"Rp1",0.166093648036285,0.829839180741876,0.103591646431944,0.497314903447639
"Gm6101",0,0,0,0
"Gm37483",0,0,0,0
"Sox17",1.34720403407209,1.00352645112971,0.345305488106479,0.643583992696945
"Gm37587",0.0184548497818095,0.0192985855986483,0,0
"Gm7357",0,0,0,0
"Gm22307",0,0,0,0
"Gm38076",0,0,0,0
"Gm37323",0,0,0,0
"Gm7369",0.0369096995636189,0.0192985855986483,0,0
"Gm6085",0.166093648036285,0.11579151359189,0.414366585727775,0.175522907099167
"Gm6119",0.0553645493454284,0,0,0.0292538178498611
"Gm25493",0,0,0,0.0292538178498611
"Gm2053",0,0,0,0
"Gm6123",0.313732446290761,0.173687270387834,0.414366585727775,0.409553449898056
"Mrpl15",43.2212581889978,31.6110832105859,43.3358387573631,32.237707270547
"Gm37144",0.0738193991272379,0.328075955177021,0.0690610976212958,0.0292538178498611
"Lypla1",12.9553045468302,14.4739391989862,25.0001173389091,17.698559799166
"Gm37988",0,0,0,0
"Tcea1",16.5724551040649,11.579151359189,21.0636347744952,16.5869147208713
"Gm6104",0,0,0,0
"Gm37277",0.996561888217711,1.10001937912295,1.34669140361527,1.66746761744208
"Rgs20",17.0338263486101,14.5897307125781,18.5774352601286,16.8209452636701
"Gm17100",0,0,0,0
"Gm37079",0.110729098690857,0.135090099190538,0.0690610976212958,0.0877614535495834
"Gm16041",0.0738193991272379,0.11579151359189,0,0.0585076356997222
"Gm17101",0,0,0,0.234030542798889
"Atp6v1h",241.260251197595,159.19403260325,289.953018363011,197.755808665061
"Gm7182",0,0,0,0
"Gm37567",0.0369096995636189,0.0192985855986483,0,0
"Gm38264",0,0,0,0
"Oprk1",22.8471040298801,21.4986243568942,34.5305488106479,30.5994934709547
"Gm36965",0,0,0,0
"Gm22463",0,0,0,0
"Gm37429",0,0,0,0
"Npbwr1",4.74289639392503,4.94043791325396,4.83427683349071,3.65672723123264
"Gm19214",0,0,0,0
"Rb1cc1",77.2335463368726,84.3927148228889,116.609663333558,144.543113996164
"4732440D04Rik",0.516735793890665,3.3193567229675,0.65608042740231,1.98925961379056
"Alkal1",0,0,0.0345305488106479,0
"Gm2147",0,0,0,0
"Gm7417",0,0,0.0345305488106479,0
"Gm19026",3.58024085767104,2.97198218219183,2.31354677031341,2.89612796713625
"St18",15.9634450612652,30.8005426154426,12.3964670230226,32.647260720445
"Gm42492",0.830468240181426,1.48599109109592,0.587019329781015,1.75522907099167
"Gm7449",0.0184548497818095,0,0,0
"Gm37108",0.0738193991272379,0.0192985855986483,0.138122195242592,0.0292538178498611
"Gm37275",0,0,0,0
"Gm37225",0,0,0,0
"Gm37489",0,0,0,0
"Gm5694",0,0,0,0
"Pcmtd1",46.2293987034327,52.2026740443436,58.5292802340482,77.9029169341802
"Gm26983",0.0184548497818095,0.0771943423945931,0,0.0292538178498611
"Gm38372",0.627464892581522,3.97550863332154,0.207183292863888,5.52897157362375
"Gm9826",0,0,0,0
"Nras-ps2",0,0,0,0
"Gm23274",0,0,0,0
"Gm19002",0,0,0,0
"Gm26901",0.0922742489090474,0.44386746876891,0.0345305488106479,0.702091628396667
"Gm18984",0,0,0,0
"Gm30414",0,0,0,0.0292538178498611
"Gm37791",0,0,0,0
"Gm7470",0.0184548497818095,0,0,0
"Rps2-ps2",0,0,0,0
"Gm38216",0,0,0,0
"Sntg1",64.9610712319693,55.1553576409368,77.969979214443,64.036607273346
"Gm38024",0,0.0964929279932414,0,0.117015271399444
"Gm16284",0.0184548497818095,0.0192985855986483,0.0345305488106479,0
"Gm38259",0.0184548497818095,0.11579151359189,0,0.175522907099167
"Gm23358",0,0,0,0
"Gm37005",0.0184548497818095,0.0192985855986483,0,0
"Gm15452",0,0,0,0
"Gm36964",0,0.0771943423945931,0.207183292863888,0
"Gm24276",0,0,0,0
"Gm6152",0,0,0,0
"Gm7445",0,0,0,0
"Gm7493",0,0.0578957567959448,0,0.0292538178498611
"Gm37629",0,0.135090099190538,0,0.117015271399444
"Gm38008",0,0.0771943423945931,0,0
"Gm37143",0.0922742489090474,0.212284441585131,0.0690610976212958,0.117015271399444
"Gm6187",0,0.0192985855986483,0,0
"Gm18299",0,0,0,0
"Gm7512",0,0,0,0
"Gm24765",0,0,0,0
"Gm18300",0,0,0,0
"Rrs1",26.3166157888603,17.5810114803686,21.9959595923827,11.9940653184431
"Adhfe1",0.848923089963236,6.1176516347715,0.759672073834254,5.7922559342725
"2610203C22Rik",0.0738193991272379,0.328075955177021,0.0690610976212958,0.409553449898056
"Gm6161",0,0,0,0
"3110035E14Rik",28.9187496080954,33.1742686440764,39.8482533274877,44.2902802246897
"Gm29520",0,0,0,0
"Mybl1",5.90555193017903,4.9983336700499,6.6298653716444,6.96240864826695
"Vcpip1",147.361975507749,127.003991824704,222.894692572732,217.238851353069
"1700034P13Rik",0.129183948472666,0.0578957567959448,0.17265274405324,0.26328436064875
"Sgk3",1.18111038603581,4.84394498526072,1.7265274405324,6.52360138051903
"Gm6195",0.0184548497818095,0,0.0345305488106479,0.0292538178498611
"Gm22607",0,0,0,0
"Mcmdc2",0.461371244545237,0.656151910354041,1.00138591550879,1.14089889614458
"Snhg6",2.95277596508952,2.16144158704861,3.52211597868609,2.10627488519
"Snord87",0,0,0,0
"Tcf24",0.479826094327046,0.521061811163503,0.241713841674535,0.5265687212975
"E330040D14Rik",0.0184548497818095,0.0385971711972965,0,0
"Ppp1r42",0.461371244545237,0.424568883170262,0.103591646431944,0.497314903447639
"Gm15818",0,0,0,0
"Gm24674",0,0,0,0
"Cops5",88.7493726007217,72.1960087245432,106.388620885606,85.8014477536427
"Cspp1",10.0578931310862,15.7090486772997,12.1202226325374,20.9457335805006
"1700047N06Rik",0.0184548497818095,0.11579151359189,0,0.117015271399444
"Arfgef1",127.68910564034,115.116063095937,186.844799614416,213.260332125488
"Gm26348",0.0184548497818095,0.0771943423945931,0,0.117015271399444
"Gm37569",0.110729098690857,0.11579151359189,0.0345305488106479,0
"Cpa6",0.129183948472666,0.328075955177021,0.138122195242592,0.146269089249306
"Gm38005",0,0,0,0
"Gm15604",0.147638798254476,0.0385971711972965,0,0.0585076356997222
"Gm25253",0,0,0,0
"Gm15603",0,0,0,0
"Gm37133",0,0,0,0
"Gm5522",0.0184548497818095,0.11579151359189,0,0
"Gm28659",0.129183948472666,0.0385971711972965,0,0
"Gm22963",0,0,0,0
"Prex2",19.4514116700272,47.8218951134504,17.5760493446198,60.2336109528641
"Gm24173",0,0,0,0.0292538178498611
"Gm28686",0.184548497818095,0.250881612782428,0.345305488106479,0.175522907099167
"Gm37410",0,0,0,0
"A830018L16Rik",57.4684022205547,56.5255572184408,104.247726859346,76.0306725917891
"Gm38178",0.0184548497818095,0.192985855986483,0,0.146269089249306
"Gm29273",0.0184548497818095,0,0,0
"Gm38069",0.0369096995636189,0.0192985855986483,0,0.0877614535495834
"Gm7560",0,0.0192985855986483,0,0
"Gm22633",0,0,0,0
"Mir6341",0,0,0,0
"Gm2383",0.221458197381714,0.135090099190538,0.138122195242592,0.146269089249306
"Gm6216",0,0.0192985855986483,0,0.0292538178498611
"Gm17644",0,0,0,0
"Gm29663",0,0,0,0
"Sulf1",29.546214500677,22.3670607088333,28.2805194759206,24.7779837188324
"Slco5a1",2.23303682359895,3.3193567229675,2.34807731912406,4.35881885962931
"Gm37162",0,0,0,0
