"gene_name","gene_id","gene_biotype","Mock","Rabies","log2FoldChange","padj"
"4933401J01Rik","ENSMUSG00000102693","TEC",0,0,,
"Gm26206","ENSMUSG00000064842","snRNA",0,0,,
"Xkr4","ENSMUSG00000051951","protein_coding",12.98,16.58,0.35,0.999947203556063
"Gm18956","ENSMUSG00000102851","processed_pseudogene",0,0.02,1.19,
"Gm37180","ENSMUSG00000103377","TEC",0.08,0.11,0.54,
"Gm37363","ENSMUSG00000104017","TEC",0.08,0.08,0.1,
"Gm37686","ENSMUSG00000103025","TEC",0,0.01,0.98,
"Gm1992","ENSMUSG00000089699","lncRNA",0,0,,
"Gm37329","ENSMUSG00000103201","TEC",0.16,0.02,-2.76,
"Gm7341","ENSMUSG00000103147","processed_pseudogene",0,0.01,0.35,
"Gm38148","ENSMUSG00000103161","TEC",0.08,0.05,-0.54,
"Gm19938","ENSMUSG00000102331","lncRNA",2.95,2.25,-0.39,0.999947203556063
"Gm10568","ENSMUSG00000102348","TEC",0.27,0.36,0.42,
"Gm38385","ENSMUSG00000102592","TEC",0,0,,
"Gm27396","ENSMUSG00000088333","snRNA",0,0,,
"Gm37381","ENSMUSG00000102343","lncRNA",0,0.05,2.91,
"Rp1","ENSMUSG00000025900","protein_coding",0.27,0.63,1.37,0.999947203556063
"Gm6101","ENSMUSG00000102948","processed_pseudogene",0,0.01,0.98,
"Gm37483","ENSMUSG00000104123","TEC",0,0,,
"Sox17","ENSMUSG00000025902","protein_coding",8.63,6.64,-0.37,0.999947203556063
"Gm37587","ENSMUSG00000104238","lncRNA",0.08,0.13,0.81,
"Gm7357","ENSMUSG00000102269","processed_pseudogene",0.16,0.11,-0.54,
"Gm22307","ENSMUSG00000096126","snRNA",0,0.02,1.72,
"Gm38076","ENSMUSG00000103003","processed_pseudogene",0,0.02,1.19,
"Gm37323","ENSMUSG00000104328","lncRNA",0.08,0.04,-1.15,
"Gm7369","ENSMUSG00000102735","processed_pseudogene",0.04,0.02,-0.66,
"Gm6085","ENSMUSG00000098104","processed_pseudogene",0.04,0.19,2.25,
"Gm6119","ENSMUSG00000102175","processed_pseudogene",0,0.04,2.54,
