sample_name,smart_seq_cluster_id,smart_seq_cluster_label,smart_seq_cluster_color,animal_name_id,animal_name_label,animal_name_color,retro-seq_injection_roi_id,retro-seq_injection_roi_label,retro-seq_injection_roi_color,sex_id,sex_label,sex_color,sexual_experience_id,sexual_experience_label,sexual_experience_color,medical_conditions_id,medical_conditions_label,medical_conditions_color,cca_cluster_id,cca_cluster_label,cca_cluster_color
SM-GE4R1_S084_E1-50,14,Lhx1_2,#F29D0B,32,444221,#0071CC,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R1_S150_E1-50,17,Slc32a1_2,#FF008B,33,444972,#456A99,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R1_S151_E1-50,13,Tbx3_3 Slc14a1,#AF67FF,33,444972,#456A99,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R1_S153_E1-50,17,Slc32a1_2,#FF008B,33,444972,#456A99,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R1_S191_E1-50,14,Lhx1_2,#F29D0B,32,444221,#0071CC,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R1_S270_E1-50,13,Tbx3_3 Slc14a1,#AF67FF,33,444972,#456A99,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R1_S349_E1-50,19,Nfib_2 Car4,#8B008B,33,444972,#456A99,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R1_S368_E1-50,1,SMC,#605F5F,33,444972,#456A99,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R1_S376_E1-50,9,Lhx9,#FE5B2B,32,444221,#0071CC,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R2_S089_E1-50,9,Lhx9,#FE5B2B,32,444221,#0071CC,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R2_S090_E1-50,9,Lhx9,#FE5B2B,32,444221,#0071CC,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R2_S156_E1-50,13,Tbx3_3 Slc14a1,#AF67FF,33,444972,#456A99,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R2_S259_E1-50,9,Lhx9,#FE5B2B,33,444972,#456A99,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R2_S279_E1-50,9,Lhx9,#FE5B2B,32,444221,#0071CC,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R2_S373_E1-50,13,Tbx3_3 Slc14a1,#AF67FF,32,444221,#0071CC,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R2_S378_E1-50,9,Lhx9,#FE5B2B,32,444221,#0071CC,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R2_S381_E1-50,14,Lhx1_2,#F29D0B,32,444221,#0071CC,3,dPAG,#179917,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S073_E1-50,19,Nfib_2 Car4,#8B008B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S079_E1-50,9,Lhx9,#FE5B2B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S080_E1-50,16,Irx5,#D91D96,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S081_E1-50,16,Irx5,#D91D96,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S082_E1-50,16,Irx5,#D91D96,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S084_E1-50,11,Tbx3_1 Tac2,#8F87DF,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S085_E1-50,19,Nfib_2 Car4,#8B008B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S087_E1-50,16,Irx5,#D91D96,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S088_E1-50,19,Nfib_2 Car4,#8B008B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S089_E1-50,19,Nfib_2 Car4,#8B008B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S091_E1-50,9,Lhx9,#FE5B2B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S095_E1-50,9,Lhx9,#FE5B2B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S096_E1-50,16,Irx5,#D91D96,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S166_E1-50,19,Nfib_2 Car4,#8B008B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S167_E1-50,17,Slc32a1_2,#FF008B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S177_E1-50,10,Clic4,#F20BBF,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S178_E1-50,14,Lhx1_2,#F29D0B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S179_E1-50,13,Tbx3_3 Slc14a1,#AF67FF,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S184_E1-50,99,Oligo Opalin 2,#4C796F,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S185_E1-50,16,Irx5,#D91D96,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S187_E1-50,14,Lhx1_2,#F29D0B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S188_E1-50,17,Slc32a1_2,#FF008B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S189_E1-50,16,Irx5,#D91D96,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S268_E1-50,19,Nfib_2 Car4,#8B008B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S269_E1-50,19,Nfib_2 Car4,#8B008B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S272_E1-50,16,Irx5,#D91D96,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S281_E1-50,16,Irx5,#D91D96,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S282_E1-50,16,Irx5,#D91D96,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S283_E1-50,16,Irx5,#D91D96,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
SM-GE4R3_S287_E1-50,19,Nfib_2 Car4,#8B008B,34,445710,#4D88FF,4,MPOA,#00FFFF,2,M,#3DCC3D,2,Naive,#3DCC3D,5,behavior - none,#5C5CCC,NA,NA,NA
