"Gene","Bead","Sup","Enrichment","P"
"2300002M23Rik",0.69,0.01,5.82," 5.3e-04"
"Gm136",0.65,0.03,4.67," 3.5e-03"
"Gm44389",1.38,0.02,4.51," 5.0e-04"
"Cre",3.14,0.19,4.08," 5.3e-12"
"Fer1l4",0.56,0.03,3.99," 8.2e-03"
"Nr5a1",262.68,17.3,3.93,"7.1e-154"
"Gm12031",1.07,0.08,3.82," 1.5e-04"
"Gm27208",0.76,0.06,3.64," 1.9e-03"
"Nr5a1os",5.52,0.51,3.64," 3.3e-13"
"Gpx6",0.68,0.07,3.46," 4.6e-03"
"Gfp_L10a",106.58,10.17,3.41," 6.9e-89"
"Fam166a",0.71,0.08,3.18," 5.4e-03"
"Fezf1",245.65,27.16,3.18,"1.1e-180"
"9130024F11Rik",6.85,0.82,3.07," 4.4e-19"
"Prss30",3.06,0.37,3.04," 4.0e-09"
"Sox14",24.55,3.02,3.02," 6.2e-55"
"Nr0b1",11.95,1.52,3," 2.5e-25"
"Lbhd2",87.9,11.54,2.93," 2.2e-69"
"Cyp19a1",1.35,0.19,2.92," 4.9e-04"
"Lhx3",2.95,0.43,2.91," 2.1e-07"
"Cdc20b",4.81,0.66,2.88," 7.7e-12"
"Nptx2",133.06,18.15,2.87,"3.5e-133"
"Gm10735",0.79,0.12,2.83," 8.3e-03"
"Kank4os",0.89,0.12,2.82," 4.0e-03"
"H2-T-ps",5.23,0.74,2.81," 1.1e-12"
"Spint1",6.05,0.87,2.78," 1.8e-13"
"Il23a",0.59,0.12,2.77," 3.1e-02"
"Prdm13",18.09,2.66,2.77," 1.6e-37"
"Ifi27l2a",2.7,0.4,2.73," 5.3e-07"
"Ifi202b",0.95,0.14,2.7," 4.1e-03"
"Rgs14",46,7.3,2.69," 9.0e-44"
"Nrgn",468.85,72.68,2.69,"1.7e-106"
"Umodl1",8.57,1.33,2.69," 1.4e-19"
"H2-Q2",69.28,10.99,2.65," 1.3e-88"
"Cd6",0.62,0.11,2.65," 3.0e-02"
"Gm39653",2.89,0.47,2.61," 3.9e-07"
