"Gene","Bead","Sup","Enrichment","P"
"Teddm3",1.75,0.17,4.03," 1.1e-13"
"Nr5a1os",13.4,1.22,3.62," 1.0e-33"
"Duox2",0.26,0.03,3.3," 4.5e-03"
"Nr5a1",29.73,4.44,3.27," 1.1e-15"
"Olfr263",0.37,0.05,3.21," 4.3e-04"
"Gpr149",197.76,23.12,3.13,"7.4e-175"
"4930405L22Rik",0.2,0.02,3.02," 5.6e-03"
"Prss30",10.65,1.48,3.01," 9.6e-47"
"Apol7e",0.61,0.08,3," 2.7e-05"
"Hmcn2",61.53,8.85,2.82,"9.3e-125"
"Cib3",0.52,0.08,2.81," 6.8e-04"
"Tll2",19.54,2.95,2.78," 4.0e-68"
"Olfr1406",1.48,0.25,2.63," 1.2e-12"
"Cyp19a1",6.77,1.01,2.62," 3.9e-20"
"U90926",0.22,0.03,2.56," 3.5e-02"
"Rab38",6.59,1.14,2.53," 4.5e-30"
"Acp7",4.22,0.76,2.48," 9.0e-26"
"Lama1",85.29,16.04,2.44,"1.9e-113"
"Gjb3",0.5,0.09,2.4," 6.0e-05"
"Sox14",17.63,3.45,2.37," 5.6e-20"
"Slit3",682.66,131.26,2.34,"3.2e-100"
"Olfr876",0.21,0.04,2.34," 3.9e-02"
"B230110G15Rik",2.66,0.58,2.3," 2.1e-08"
"Vmn2r38",3.09,0.59,2.28," 2.8e-18"
"Foxn1",0.57,0.14,2.27," 3.4e-05"
"Gpx6",0.48,0.14,2.24," 6.0e-04"
"Clca3a2",4.67,0.98,2.23," 3.8e-18"
"Neurod4",0.42,0.1,2.23," 1.2e-03"
"Dppa2",0.28,0.05,2.19," 2.6e-02"
"Tmem61",0.34,0.07,2.18," 2.1e-02"
"Satb2",75.51,17.05,2.18," 4.7e-46"
"Umodl1",4.56,0.99,2.17," 8.2e-23"
"Qrfpr",60.35,14.42,2.17," 5.9e-28"
"1700063A18Rik",0.2,0.05,2.15," 4.8e-02"
"Cryge",1.22,0.29,2.14," 9.0e-09"
"7330404K18Rik",0.39,0.08,2.14," 9.1e-03"
"Hs3st4",898.92,205.82,2.14,"5.5e-143"
"Retn",8.14,1.94,2.09," 8.1e-27"
"Zfp831",37.56,8.91,2.08,"4.0e-101"
"Fermt1",17.71,4.32,2.07," 2.4e-68"
"Mrgprx2",2.58,0.24,2.07," 1.3e-03"
"B930018H19Rik",4.4,0.96,2.06," 3.6e-13"
"Wnt1",1.52,0.4,2.06," 7.5e-09"
"Hs3st3b1",11.26,2.78,2.05," 1.1e-40"
"Kank4os",1.35,0.34,2.03," 2.5e-07"
"D430036J16Rik",23.27,5.65,2.03," 8.3e-62"
"Rai14",46.19,12.4,2.02," 1.5e-24"
"Samd7",5.3,1.4,1.99," 1.1e-21"
"Zswim2",1.75,0.44,1.99," 3.7e-11"
"AU017674",1.23,0.3,1.99," 2.0e-06"
"Tyr",1.28,0.39,1.97," 8.2e-07"
"Rin1",6.85,1.73,1.97," 6.2e-30"
"Cacna2d1",1440.44,371.06,1.96," 9.2e-81"
"Megf11",218.69,56.14,1.94," 2.4e-92"
