"Gene","Dlk1","Esr1","Nfib","Foxp2","Fezf1","Lepr"
"Syngr3",0,0,0.06,0,0,0
"Phka2",0,0.02,0,0.15,0,0
"Kif13a",0,0,0,0,0,0.19
"Herc2",0.06,0.01,0,0,0,0
"Plxna2",0,0,0,0,0.56,0.18
"Usp13",0,0,0,0,0,0.02
"Jakmip2",0.09,0.11,0,0,0,0
"Xpr1",0.04,0,0,0,0.08,0
"Rreb1",0,0,0,0.08,0.13,0.37
"Relt",0,0,0.16,0,0,0.26
"B230209E15Rik",0.15,0,0,0,0,0
"Klf3",0,0,0.68,0,0,0
"Klf4",0.16,0.71,0,0,0,0
"Mro",0,0.49,0,0,0,0
"Masp1",0.37,0.4,0.3,0,0,0
"Pdzrn4",0.19,0.57,0,0,0.16,0
"Sez6l",0.01,0,0,0.09,0.09,0
"Radil",0,0,0,0,0,0.13
"Hmcn2",0,0,0,0,0,0.72
"Fads1",0,0,0.11,0,0,0.04
"Rpl41",0,0,0,0,0.06,0
"Mbip",0,0.16,0,0,0,0
"Cntnap5a",0.44,0.3,0,0,0.22,0
"Asap1",0.04,0,0,0,0.02,0
"Msln",0.04,0.58,0,0,0,0.04
"Mgat5",0,0,0,0,0.1,0
"Ngef",0,0,0,0,0,0.15
"Acadsb",0.16,0,0,0,0,0
"Fbn1",0,0,0.26,0.36,0,0
"Elavl4",0.22,0,0,0,0.04,0
"Wwc1",0,0.31,0,0,0,0
"Adcyap1",0,0.12,0,0,0,0.13
"Htr4",0.58,0.44,0,0,0,0.02
"Gnb1l",0,0,0.32,0,0,0.04
"Bmp4",0,0.78,0,0,0,0
"1700111E14Rik",0.3,0,0,0,0,0.06
"Grin2a",0,0,0,0,0,0.09
"Prkcb",0.15,0,0,0.12,0.06,0
"Arhgef12",0.16,0,0,0,0,0
"Itm2b",0,0,0.3,0,0,0
"Pld2",0,0.32,0,0,0.41,0
"Ccdc187",0,0,0,0.84,0,0.36
"Cpeb2",0,0,0.06,0,0,0
"Nfia",0,0,0.97,0,0,0
"9530026P05Rik",0,0.07,0,0,0.14,0.61
"Gprc5b",0,0,0,0,0.3,0.16
"E130102H24Rik",0,0,0.19,0,0,0
"Olfr920",0.12,0,0,0.86,0,0
"Srpk2",0,0,0,0,0,0.02
"Il34",0,0.05,0,0,0,0.25
"Npas1",0,0,0,0,0,0.27
"Il5ra",0,0,0,0,0.28,0.64
"Sema3f",0.76,0.35,0,0,0,0
"Iigp1",0,0.83,0,0,0,0
"4930549C15Rik",0,0,0.45,0,0,0
