"Gene","Bead","Sup","Enrichment","P"
"Gm14236",7.94,0.2,5.18," 4.0e-16"
"Gm7695",8.23,1.07,3.63," 7.6e-03"
"Gm26917",2061.58,156.33,3.53,"1.1e-169"
"Gfp_L10a",464.37,62.04,3.02," 1.1e-03"
"Bahcc1",258.52,41.08,2.59," 2.4e-84"
"Prlh",2.72,0.43,2.57," 3.0e-04"
"Gucy2c",1.24,0.25,2.31," 2.7e-02"
"Yeats2",130.78,28.17,2.16," 1.9e-04"
"Tnrc18",561.54,123.85,2.1," 5.3e-56"
"H2-T-ps",6.94,1.8,1.96," 7.0e-07"
"Lipg",1.78,0.53,1.81," 3.0e-02"
"Acp7",2.74,0.79,1.8," 4.8e-03"
"Nr5a1",176.43,51.93,1.76," 4.9e-54"
"Fezf1",200.51,58.66,1.74," 3.5e-42"
"Nr5a1os",2.64,0.77,1.73," 9.7e-03"
"Lbhd2",84.65,26,1.72," 8.2e-28"
"Nms",2.06,0.66,1.69," 2.5e-02"
"Adcyap1",179.07,57.75,1.65," 4.5e-44"
"Foxa1",5.47,1.65,1.62," 6.3e-04"
"C130093G08Rik",61.66,20.1,1.61," 3.9e-27"
"H2-Bl",7.61,2.52,1.6," 1.4e-05"
"Neurod6",2.22,0.78,1.59," 3.1e-02"
"Pitx2",13.36,4.81,1.57," 1.6e-07"
"Nrgn",425.16,147.16,1.56," 1.7e-29"
"H2-Q2",50.36,17.27,1.54," 2.8e-22"
"Krt18",13.68,4.82,1.51," 7.6e-08"
"C1ql2",32.8,11.66,1.51," 2.9e-14"
"Barhl1",6.66,2.08,1.5," 7.6e-04"
"Nptx2",76.79,27.2,1.5," 3.5e-25"
"Gm12408",3.68,1.32,1.49," 5.8e-03"
"Rasl11a",9.26,3.33,1.49," 8.1e-06"
"Bdnf",29.95,10.78,1.48," 2.1e-14"
"Rprml",20.49,7.53,1.47," 2.5e-10"
"Gt(ROSA)26Sor",10.11,3.76,1.47," 8.3e-06"
"Cd36",3.82,1.4,1.46," 6.6e-03"
"Calca",4.64,1.73,1.43," 3.1e-03"
"Tnfrsf8",30.82,11.61,1.42," 2.2e-13"
"Prr19",3.52,1.28,1.4," 1.5e-02"
"Irx6",3.42,1.42,1.34," 2.2e-02"
"Umodl1",6.75,2.86,1.34," 1.0e-03"
"Nr0b1",12.16,4.81,1.33," 5.6e-06"
"Grhl1",49.56,19.85,1.32," 1.0e-16"
"C130021I20Rik",11.55,4.29,1.31," 4.7e-05"
"Chst8",32.57,13.31,1.31," 7.3e-11"
"Cbln1",243.43,98.22,1.29," 1.8e-22"
"Sox14",19.49,7.82,1.29," 1.9e-06"
"Pdyn",125.95,51.81,1.28," 3.4e-23"
"Shox2",6.08,2.48,1.27," 4.4e-03"
"Nkd2",41.03,17.12,1.26," 1.0e-13"
"Rasd1",25.05,10.38,1.26," 2.9e-09"
"Neurod2",4.15,1.8,1.26," 2.1e-02"
"Rpusd1",122.99,52.18,1.25," 9.1e-20"
"Nxph4",17.87,7.65,1.25," 3.7e-07"
"Fxyd7",93.55,40.09,1.24," 2.2e-16"
"Slc17a6",243.55,103.11,1.24," 1.8e-30"
"2010204K13Rik",103.24,43.86,1.24," 7.5e-22"
"Rtn4r",11.3,4.78,1.23," 3.9e-05"
"Lamb3",22.53,9.71,1.23," 7.4e-08"
"Ccdc42",5.62,2.42,1.23," 4.2e-03"
"Nrn1",32.08,13.68,1.23," 4.2e-11"
"Gm8420",6.83,3.2,1.23," 2.0e-03"
"Chrm5",29.31,12.8,1.22," 1.3e-09"
"Uqcr11",52.09,22.97,1.22," 9.3e-12"
"Hspa1b",2.96,1.3,1.21," 4.9e-02"
"Rin1",22.96,9.9,1.21," 2.9e-08"
"Rerg",84.92,36.51,1.21," 9.8e-19"
"Shh",6.2,2.68,1.21," 4.2e-03"
"Flpo",56.51,24.6,1.2," 2.1e-15"
"Igbp1b",3.45,1.47,1.2," 4.1e-02"
"Tac1",66.75,29.12,1.2," 1.1e-16"
"Bcor",74.49,32.6,1.2," 1.9e-17"
"Aldh3b2",19.67,8.76,1.18," 4.8e-07"
"Doc2b",460.31,203.29,1.18," 5.8e-31"
"A830011K09Rik",5.17,2.32,1.18," 7.9e-03"
"Mc3r",14.44,6.37,1.18," 7.1e-06"
"Gse1",190.08,81.22,1.18," 2.3e-21"
"Rai14",23.98,10.62,1.18," 1.7e-08"
"Itpka",23.97,10.62,1.17," 5.4e-08"
"Cmbl",49.54,22.28,1.17," 1.5e-12"
"Barx2",9.86,4.43,1.16," 3.4e-04"
"Cckbr",15.94,7.17,1.16," 7.0e-06"
"Atp6v1c2",10.87,4.86,1.15," 1.4e-04"
"Dctn1",1076.59,491.1,1.15," 7.2e-24"
"Rnf208",321.86,147.39,1.15," 1.3e-24"
"Tmem35a",123.27,55.65,1.14," 1.6e-20"
"Doc2a",71.09,32.44,1.14," 4.0e-15"
"Rgs14",38.5,17.44,1.14," 1.4e-09"
"Sf3b5",46.38,22.23,1.14," 2.1e-08"
"6430628N08Rik",5.95,2.86,1.14," 8.5e-03"
"Uncx",8.09,3.82,1.14," 1.6e-03"
"Camkv",866.58,394.03,1.14," 1.5e-26"
"Gpr6",4.46,2.08,1.13," 2.6e-02"
"C1qtnf4",66.53,33.34,1.13," 5.8e-10"
"Selenom",134.62,65.91,1.13," 5.8e-11"
"Gm13394",55.33,24.05,1.13," 1.7e-11"
"Kncn",5.18,2.37,1.12," 1.1e-02"
"Prdm8",4.55,2.17,1.12," 2.3e-02"
"Hk2",20.61,9.49,1.12," 5.3e-07"
"Nov",11.01,5.09,1.1," 2.6e-04"
"Vgll2",3.92,1.96,1.1," 4.7e-02"
"Camk1g",185.41,86.19,1.1," 1.6e-21"
"Baiap2",175.99,81.79,1.1," 4.6e-17"
"Smim18",10.83,5.07,1.1," 3.6e-04"
"Hes6",58.32,27.73,1.1," 4.3e-11"
"Fam110a",33.97,16.2,1.08," 1.8e-08"
"Nhlh2",23.19,10.95,1.08," 3.7e-07"
"Nbdy",76.29,35.98,1.08," 7.2e-14"
"Hs3st4",135.87,65,1.07," 5.1e-19"
"Ccnjl",7.09,3.4,1.06," 4.5e-03"
"Stx1a",150.63,73.77,1.06," 3.4e-13"
"9130024F11Rik",3.72,1.78,1.06," 4.7e-02"
"Gm10605",8.65,4.09,1.06," 2.2e-03"
"Egflam",5.1,2.52,1.06," 2.1e-02"
"Mif",52.79,26.47,1.05," 2.1e-09"
"Hcrtr1",9.62,4.67,1.05," 1.2e-03"
"Rab26",54.89,26.83,1.05," 2.6e-10"
"Atpif1",77.53,37.61,1.05," 3.1e-13"
"Elob",65.08,32.54,1.05," 4.6e-11"
"Nop10",65.27,31.53,1.05," 1.9e-12"
"Wdr83os",17.83,8.71,1.04," 1.7e-05"
"Adamts2",45.19,21.99,1.04," 1.8e-10"
"Phyhip",537.88,262.27,1.04," 2.3e-24"
