"Gene","Bead","Sup","Enrichment","P"
"Olfr263",0.61,0.06,3.7," 5.3e-06"
"Apol7e",0.96,0.1,3.33," 1.3e-07"
"4930405L22Rik",0.28,0.03,3.28," 1.3e-03"
"Nr5a1os",17.31,2.1,3.12," 2.2e-43"
"Hmcn2",92.79,11.06,3.08,"9.6e-160"
"Tll2",29.47,3.66,3.07," 1.9e-64"
"Nr5a1",39.39,6.08,2.94," 4.2e-35"
"Gpr149",262.42,35.51,2.91,"1.6e-196"
"Gpx6",0.81,0.14,2.84," 6.0e-07"
"Umodl1",7.49,1.03,2.83," 2.4e-39"
"Gjb3",0.79,0.1,2.83," 7.1e-07"
"Cib3",0.71,0.1,2.69," 3.7e-05"
"Rai14",74.42,12.57,2.65," 2.2e-49"
"Prss30",13.36,2.21,2.65," 2.2e-70"
"Hs3st3b1",17.98,2.95,2.63," 1.8e-87"
"Olfr313",0.19,0.04,2.6," 4.6e-02"
"Megf11",344.78,58.57,2.54,"8.3e-221"
"Rab38",8.49,1.49,2.51," 9.6e-55"
"Tmem61",0.52,0.08,2.5," 4.5e-03"
"Kank4os",2.01,0.37,2.45," 2.6e-11"
"Ankrd33b",22.93,4.28,2.44," 2.1e-55"
"Retn",11.48,2.23,2.44," 2.0e-35"
"Trim40",0.43,0.07,2.41," 3.7e-03"
"Acp7",5.44,1.02,2.41," 2.8e-27"
"Ccnjl",51.99,9.92,2.39," 4.1e-62"
"7330404K18Rik",0.52,0.1,2.35," 1.4e-03"
"Cryge",1.69,0.34,2.33," 8.9e-08"
"Slit3",880.12,170.22,2.33,"3.6e-138"
"Fam83b",7.11,1.55,2.32," 4.0e-22"
"Lemd1",120.61,23.81,2.31,"1.0e-120"
"4933431M02Rik",3.26,0.69,2.29," 1.5e-14"
"Zfp831",51.17,10.5,2.29,"3.6e-129"
"U90926",0.25,0.04,2.28," 4.5e-02"
"A730049H05Rik",8.4,1.74,2.22," 2.7e-25"
"Akr1cl",5.02,1.14,2.19," 5.6e-14"
"1700037F24Rik",1.41,0.31,2.19," 2.9e-07"
"Tnfrsf8",24.71,5.65,2.18," 7.6e-52"
"Acaa1b",4.85,1.19,2.17," 3.3e-18"
"Hs3st4",1123.19,259.51,2.12,"1.8e-201"
"Wnt8a",0.31,0.07,2.1," 2.2e-02"
"Fabp6",0.63,0.13,2.09," 1.2e-02"
"Hsd17b2",8.52,2.01,2.08," 7.6e-24"
"Satb2",90.82,21.77,2.08," 6.8e-68"
"Ssxb3",0.41,0.12,2.06," 2.3e-02"
"Unc45b",11.01,2.45,2.06," 2.0e-08"
"Glra1",140.28,33.51,2.05,"6.3e-196"
"Lama1",94.29,22.93,2.05,"1.2e-122"
"A830029E22Rik",0.45,0.11,2.04," 6.9e-03"
"Mcemp1",1.17,0.33,2.03," 9.3e-06"
"Cfap73",14.27,3.58,2.02," 1.5e-34"
"Psg29",0.27,0.08,2.01," 3.7e-02"
"Wnt10b",0.64,0.15,2," 1.3e-03"
"Il23a",0.85,0.22,1.99," 1.3e-04"
"Foxn1",0.63,0.18,1.99," 4.1e-04"
"Tyr",1.5,0.45,1.95," 1.9e-06"
"Adamts9",78.85,20.11,1.94," 3.1e-60"
"Rin1",8.24,2.12,1.94," 1.0e-27"
"Hipk4",32.13,8.52,1.92," 4.3e-82"
"Spink7",0.35,0.09,1.91," 2.3e-02"
"Fermt1",20.36,5.52,1.91," 2.6e-60"
"Olfr1406",1.46,0.38,1.9," 2.7e-06"
"Mst1r",5.13,1.4,1.9," 2.1e-20"
"Fndc1",136.2,35.81,1.88," 2.6e-77"
"She",2.1,0.57,1.87," 9.7e-05"
"E330035G20Rik",0.41,0.1,1.86," 2.8e-02"
"Steap3",27.84,7.56,1.85," 6.7e-25"
"Oprd1",32.33,8.73,1.84," 1.5e-58"
"Oosp3",0.38,0.12,1.84," 2.9e-02"
"Disp3",105.69,29.76,1.84,"5.4e-125"
"Espnl",0.34,0.1,1.83," 2.1e-02"
"Hydin",164.01,45.62,1.83," 4.0e-36"
"Lcorl",612.65,174.22,1.83,"1.5e-175"
"4933415A04Rik",1.53,0.44,1.81," 2.4e-07"
