gene,cells,paper
Acta2,Mural Cell,"Saunders2018, Mickelsen2019"
Adm,Tanycyte,Campbell2017
Agt,Astro,"Chen2017, Mickelsen2019"
Aif1,Micro,"Campbell2017, Dai2019, Geirsdottir2019"
Aldh1l1,Astro,Dai2019
Aldoc,Astro,Dai2019
Aqp4,Astro,"Saunders2018, Mickelsen2019"
Bmp4,Oligo,Campbell2017
C1qa,Micro,"Mickelsen2019, Geirsdottir2019"
C1qb,Micro,"Saunders2018, Geirsdottir2019"
Ccdc153,Ependymo,"Campbell2017, Chen2017"
Cck,Pars Tuberalis,Campbell2017
Clu,Astro,Dai2019
Cnp,Oligo,Dai2019
Coch,Choroid Plexus,Saunders2018
Col1a1,Fibroblast,Campbell2017
Col1a2,Fibroblast,Mickelsen2019
Col3a1,Fibroblast,Campbell2017
Csf1r,Micro,Geirsdottir2019
Cspg4,OPC,"Campbell2017, Saunders2018, Mickelsen2019"
Csta,Micro,Geirsdottir2019
Cstb,Micro,Geirsdottir2019
Cstc,Micro,Geirsdottir2019
Cx3cr1,Micro,"Macosko2015, Mickelsen2019"
Cyp2l2,Pars Tuberalis,Campbell2017
Dcn,Fibroblast,Saunders2018
Dcx,Neuron,Dai2019
Elavl2,Neuron,Mickelsen2019
Flt1,Endothelial,"Saunders2018, Mickelsen2019"
Fyn,NFO,"Chen2017, Mickelsen2019"
Gad1,Neuron,"Macosko2015, Dai2019"
Gad2,Neuron,me
Gfap,Astro,"Macosko2015, Campbell2017, Mickelsen2019, Dai2019"
Gja1,Astro,"Saunders2018, Mickelsen2019, Dai2019"
Hba-a1,RBC,Mickelsen2019
Igfbpl1,Fibroblast,Saunders2018
Itgam,Micro,Dai2019
Lum,Fibroblast,Campbell2017
Mag,Oligo,"Campbell2017, Mickelsen2019"
Man1a,Oligo,Campbell2017
Mbp,Oligo,Saunders2018
Meg3,Neuron,me
Mobp,Oligo,Chen2017
Mrc1,Macrophage,"Chen2017, Mickelsen2019"
Mustn1,Mural Cell,Campbell2017
Myh11,Endothelial,Chen2017
Ndrg2,Astro,Dai2019
Olig1,Oligo,Mickelsen2019
Opalin,Oligo,Mickelsen2019
P2ry12,Micro,"Saunders2018, Geirsdottir2019"
Pdgfra,OPC,"Chen2017, Mickelsen2019"
Plp1,Oligo,"Saunders2018, Dai2019"
Ppap2b,Astro,Dai2019
Ptprc,Micro,Dai2019
Rax,Tanycyte,"Campbell2017, Chen2017"
Rbfox3,Neuron,Saunders2018
Reln,Neuron,Dai2019
Rgs5,Mural Cell,Saunders2018
Rgs16,Neuron,Campbell2017
Slc1a3,Astro,Dai2019
Slc4a4,Astro,Dai2019
Slc6a9,Neuron,Macosko2015
Slc7a10,Astro,Mickelsen2019
Slc12a5,Neuron,Dai2019
Slc17a6,Neuron,me
Slc18a2,Neuron,Campbell2017
Slc32a1,Neuron,me
Slc38a5,Endothelial,Chen2017
Snap25,Neuron,"Chen2017, Mickelsen2019"
Snhg11,Neuron,me
Spi1,Micro,Geirsdottir2019
Syp,Neuron,Mickelsen2019
Syt1,Neuron,Chen2017
Tgfbi,Choroid Plexus,Saunders2018
Tgfbr2,Micro,Geirsdottir2019
Timeless,Pars Tuberalis,Campbell2017
Tlr2,Micro,Dai2019
Tlr7,Micro,Dai2019
Tmem119,Micro,Mickelsen2019
Tnr,OPC,Saunders2018
Top2a,OPC,Chen2017
Trf,Oligo,Saunders2018
Tshb,Pars Tuberalis,Campbell2017
Tubb3,Neuron,"Campbell2017, Mickelsen2019"
Vsir,Micro,Geirsdottir2019
