gene,group
Kcnd3,Voltage-gated potassium channel
Kcnq2,Voltage-gated potassium channel
Kcnq3,Voltage-gated potassium channel
Kcnc2,Voltage-gated potassium channel
Kcnb1,Voltage-gated potassium channel
Kcnd2,Voltage-gated potassium channel
Kcna5,Voltage-gated potassium channel
Kcnc1,Voltage-gated potassium channel
Kcnf1,Voltage-gated potassium channel
Kcna3,Voltage-gated potassium channel
Kcnc4,Voltage-gated potassium channel
Kcna2,Voltage-gated potassium channel
Kcnh2,Voltage-gated potassium channel
Kcnb2,Voltage-gated potassium channel
Kcnh8,Voltage-gated potassium channel
Kcna4,Voltage-gated potassium channel
Kcnq5,Voltage-gated potassium channel
Kcna6,Voltage-gated potassium channel
Kcnd1,Voltage-gated potassium channel
Kcnc3,Voltage-gated potassium channel
Kcnh6,Voltage-gated potassium channel
Kcnh4,Voltage-gated potassium channel
Kcnh1,Voltage-gated potassium channel
Kcng1,Voltage-gated potassium channel
Kcnh5,Voltage-gated potassium channel
Kcng2,Voltage-gated potassium channel
Kcnq4,Voltage-gated potassium channel
Kcnh7,Voltage-gated potassium channel
Kcnv1,Voltage-gated potassium channel
Kcng4,Voltage-gated potassium channel
Kcnq1,Voltage-gated potassium channel
Kcna1,Voltage-gated potassium channel
Kcng3,Voltage-gated potassium channel
Kcns2,Voltage-gated potassium channel
Kcnh3,Voltage-gated potassium channel
Kcns1,Voltage-gated potassium channel
Kcna7,Voltage-gated potassium channel
Kcns3,Voltage-gated potassium channel
Kcnv2,Voltage-gated potassium channel
Kcna10,Voltage-gated potassium channel
Kcnk9,Two-P potassium channel
Kcnk2,Two-P potassium channel
Kcnk1,Two-P potassium channel
Kcnk3,Two-P potassium channel
Kcnk10,Two-P potassium channel
Kcnk6,Two-P potassium channel
Kcnk12,Two-P potassium channel
Kcnk13,Two-P potassium channel
Kcnk7,Two-P potassium channel
Kcnk4,Two-P potassium channel
Kcnk15,Two-P potassium channel
Kcnk16,Two-P potassium channel
Kcnk18,Two-P potassium channel
Kcnk5,Two-P potassium channel
Kcnj5,Inwardly rectifying potassium channel
Kcnj9,Inwardly rectifying potassium channel
Kcnj3,Inwardly rectifying potassium channel
Kcnj6,Inwardly rectifying potassium channel
Kcnj13,Inwardly rectifying potassium channel
Kcnj11,Inwardly rectifying potassium channel
Kcnj10,Inwardly rectifying potassium channel
Kcnj2,Inwardly rectifying potassium channel
Kcnj14,Inwardly rectifying potassium channel
Kcnj12,Inwardly rectifying potassium channel
Kcnj4,Inwardly rectifying potassium channel
Kcnj16,Inwardly rectifying potassium channel
Kcnj8,Inwardly rectifying potassium channel
Kcnj15,Inwardly rectifying potassium channel
Kcnj1,Inwardly rectifying potassium channel
Catsper2,CatSper and Two-Pore channel
Tpcn1,CatSper and Two-Pore channel
Tpcn2,CatSper and Two-Pore channel
Catsper3,CatSper and Two-Pore channel
Catsper1,CatSper and Two-Pore channel
Catsper4,CatSper and Two-Pore channel
Trpc4,Transient Receptor Potential channel
Mcoln1,Transient Receptor Potential channel
Trpm7,Transient Receptor Potential channel
Trpc6,Transient Receptor Potential channel
Trpv2,Transient Receptor Potential channel
Trpc1,Transient Receptor Potential channel
Pkd2,Transient Receptor Potential channel
Trpc5,Transient Receptor Potential channel
Pkd2l2,Transient Receptor Potential channel
Trpm4,Transient Receptor Potential channel
Trpc7,Transient Receptor Potential channel
Trpm2,Transient Receptor Potential channel
Trpv6,Transient Receptor Potential channel
Trpc3,Transient Receptor Potential channel
Trpm3,Transient Receptor Potential channel
Trpm5,Transient Receptor Potential channel
Trpc2,Transient Receptor Potential channel
Trpv3,Transient Receptor Potential channel
Trpv4,Transient Receptor Potential channel
Trpm1,Transient Receptor Potential channel
Trpa1,Transient Receptor Potential channel
Trpv5,Transient Receptor Potential channel
Trpm6,Transient Receptor Potential channel
Pkd2l1,Transient Receptor Potential channel
Trpv1,Transient Receptor Potential channel
Mcoln3,Transient Receptor Potential channel
Trpm8,Transient Receptor Potential channel
Scn9a,Voltage-gated sodium channel
Scn2a1,Voltage-gated sodium channel
Scn3a,Voltage-gated sodium channel
Scn1a,Voltage-gated sodium channel
Scn8a,Voltage-gated sodium channel
Scn7a,Voltage-gated sodium channel
Scn5a,Voltage-gated sodium channel
Scn11a,Voltage-gated sodium channel
Scn10a,Voltage-gated sodium channel
Scn4a,Voltage-gated sodium channel
Cacna1e,Voltage-gated calcium channel
Cacna1b,Voltage-gated calcium channel
Cacna1d,Voltage-gated calcium channel
Cacna1a,Voltage-gated calcium channel
Cacna1c,Voltage-gated calcium channel
Cacna1h,Voltage-gated calcium channel
Cacna1i,Voltage-gated calcium channel
Cacna1g,Voltage-gated calcium channel
Cacna1f,Voltage-gated calcium channel
Cacna1s,Voltage-gated calcium channel
Hcn1,Cyclic nucleotide-regulated channel
Cngb1,Cyclic nucleotide-regulated channel
Hcn3,Cyclic nucleotide-regulated channel
Hcn4,Cyclic nucleotide-regulated channel
Hcn2,Cyclic nucleotide-regulated channel
Cnga3,Cyclic nucleotide-regulated channel
Cnga4,Cyclic nucleotide-regulated channel
Cnga2,Cyclic nucleotide-regulated channel
Cngb3,Cyclic nucleotide-regulated channel
Cnga1,Cyclic nucleotide-regulated channel
Kcnma1,Calcium-activated potassium channel
Kcnn3,Calcium-activated potassium channel
Kcnt1,Calcium-activated potassium channel
